unidad_numero,posicion,fuego
57,ddd,11701
57,cie,12173
57,cii,12174
57,cdi,12175
57,cde,12172
57,tie,12319
57,tde,12318
57,ra,4387
427,ddi,12505
427,ddd,12506
427,tie,11540
427,tde,11541
427,ra,S/N
312,ddi,11471
312,ddd,11470
312,tie,10888
312,tii,10067
312,tdi,12291
312,tde,12290
312,ra,8764
284,ddi,s/n
284,ddd,s/n
284,tie,s/n
284,tii,s/n
284,tdi,s/n
284,tde,s/n
429,ddi,13052
429,ddd,13051
429,tie,13054
429,tde,13053
429,ra,s/n
411,ddi,S/N
411,ddd,S/N
411,tie,S/N
411,tde,S/N
411,ra,S/N
430,ddi,S/N
430,ddd,S/N
430,tie,S/N
430,tde,S/N
2031,ddi,11304
2031,ddd,11303
2031,tie,10501
2031,tii,10502
2031,tdi,10040
2031,tde,10039
2032,ddi,11063
2032,ddd,11062
2032,tie,9703
2032,tii,9704
2032,tdi,9705
2032,tde,9088
62,ddi,11650
62,ddd,11651
62,cie,10101
62,cii,10102
62,cdi,10103
62,cde,10104
62,tie,11190
62,tde,11189
62,ra,s/n
2033,ddi,12547
2033,ddd,12546
2033,tie,10696
2033,tii,10699
2033,tdi,10202
2033,tde,10330
2033,ra,3658
282,ddi,11910
282,ddd,11909
282,tie,S/N
282,tii,S/N
282,tdi,S/N
282,tde,S/N
58,ddi,11840
58,ddd,11835
58,cie,10593
58,cii,12359
58,cdi,12361
58,cde,10758
58,tie,12321
58,tde,12320
58,ra,10679
2030,ddi,9722
2030,ddd,9721
2030,tie,9878
2030,tii,9879
2030,tdi,9665
2030,tde,9664
59,ddi,12159
59,ddd,12158
59,cie,12764
59,cii,12765
59,cdi,12766
59,cde,12767
59,tie,13014
59,tde,13015
59,ra,5606
61,ddi,11829
61,ddd,11828
61,cie,12265
61,cii,12264
61,cdi,12262
61,cde,12263
61,tie,12817
61,tde,12818
60,ddi,10832
60,ddd,11834
60,cie,10907
60,cii,10908
60,cdi,10905
60,cde,10906
60,tie,12316
60,tde,12317
317,ddi,12557
317,ddd,12556
317,tie,11505
317,tii,11504
317,tdi,11227
317,tde,11228
316,ddi,11500
316,ddd,11501
316,tie,10157
316,tii,9626
316,tdi,10155
316,tde,10154
428,ddi,s/n
428,ddd,s/n
428,tie,s/n
428,tde,s/n
428,ra,S/N
433,ddi,S/N
433,ddd,S/N
433,tie,S/N
433,tde,S/N
2034,ddi,13174
2034,ddd,13173
2034,tie,10718
2034,tii,11280
2034,tdi,12827
2034,tde,11430
318,ddi,12563
318,ddd,12562
318,tie,11633
318,tii,11632
318,tdi,11631
318,tde,11630
318,ra,5412
319,ddi,12551
319,ddd,12550
319,tie,10548
319,tii,10547
319,tdi,11296
319,tde,11295
319,ra,S/N
320,ddi,12705
320,ddd,12704
320,tie,11930
320,tii,11931
320,tdi,11932
320,tde,11933
320,ra,7761
2040,tie,5794R
2040,tii,6149R
2040,tdi,5896R
2040,tde,5897R
2037,ddi,31vacio
2037,ddd,30vacio
2037,cie,vacio32
2037,cii,vacio33
2037,cdi,vacio34
2037,cde,vacio35
2037,tie,5769
2037,tde,6409
321,ddi,12913
321,ddd,12912
321,tie,11058
321,tii,11059
321,tdi,11060
321,tde,11061
321,ra,7580
323,ddi,12715
323,ddd,12714
323,tie,11394
323,tii,11395
323,tdi,11396
323,tde,11397
323,ra,VACIO
330,ddi,11517
330,ddd,11525
330,tie,11487
330,tii,11488
330,tdi,11483
330,tde,11489
330,ra,10943
331,ddi,12387
331,ddd,12393
331,tie,10869
331,tii,10874
331,tdi,10856
331,tde,10872
331,ra,10549
325,ddi,12496
325,ddd,12495
325,tie,11362
325,tii,11365
325,tdi,11749
325,tde,11750
325,ra,9883
326,ddi,11809
326,ddd,11803
326,tie,11802
326,tii,10700
326,tdi,11804
326,tde,10446
327,ddi,12360
327,ddd,12355
327,tie,10205
327,tii,12352
327,tdi,12353
327,tde,10211
328,ddi,11807
328,ddd,11806
328,tie,11805
328,tii,11801
328,tdi,11810
328,tde,11808
329,ddi,12781
329,ddd,12780
329,tie,12782
329,tii,12783
329,tdi,12784
329,tde,12785
329,ra,9625
432,ddi,s/n
432,ddd,s/n
432,tie,s/n
432,tde,s/n
322,ddi,11754
322,ddd,11753
322,tie,11408
322,tii,11409
322,tdi,11410
322,tde,11411
322,ra,4652
324,ddi,12438
324,ddd,12437
324,tie,11308
324,tii,11307
324,tdi,11306
324,tde,11305
334,ddi,12229
334,ddd,12228
334,tie,10350
334,tii,10349
334,tdi,10348
334,tde,10347
334,ra,17VACIO
335,ddi,12565
335,ddd,12564
335,tie,10580
335,tii,11688
335,tdi,10827
335,tde,10828
335,ra,7863
717,tie,7919
717,tii,7920
717,tdi,7921
717,tde,7922
718,ddi,7928
718,ddd,7927
718,tie,3982
718,tii,7926
336,ddi,11989
